last_name, first_name,player_id,year,n_ff_formatted,ff_avg_speed,n_sl_formatted,sl_avg_speed,n_ch_formatted,ch_avg_speed,n_cukc_formatted,cu_avg_speed,n_sift_formatted,si_avg_speed,n_fc_formatted,fc_avg_speed,n_fs_formatted,fs_avg_speed,
Wainwright, Adam,425794,2022,9.4,88,,,6.1,82.2,31,72.9,28.1,88.6,25.4,84.3,,,
Verlander, Justin,434378,2022,50.4,95,28.3,87.4,2.4,86.2,18.8,79,,,,,,,
Kluber, Corey,446372,2022,1.5,88.9,,,10.3,82.9,27.3,80.7,26.8,88.9,34.2,86.3,,,
Morton, Charlie,450203,2022,33.3,94.9,,,8.6,87.2,38,81.3,10.8,94.7,9.3,88.4,,,
Quintana, Jose,500779,2022,36,91.2,,,19.5,86.4,28.1,78.4,16.4,91.4,,,,,
Gibson, Kyle,502043,2022,11.9,92,21,83.3,10.7,84.6,6.6,79,28.1,91.6,21.7,89.4,,,
Darvish, Yu,506433,2022,25.2,95,19.1,82.3,,,4,72.7,9.1,94.7,35.2,86.5,7.5,89.2,
Kelly, Merrill,518876,2022,29.2,92.6,0.2,85,21.8,88.6,13.5,82.2,17,92.6,18.3,90.9,,,
Perez, Martin,527048,2022,8,92.7,1.4,84.4,27.6,84.4,3.5,78.8,35.2,92.6,24.3,89.8,,,
Anderson, Tyler,542881,2022,38,90.7,,,31.6,79,1.2,73.2,7.1,89,22,85.7,,,
Cole, Gerrit,543037,2022,51.9,97.8,22.6,88.7,8.4,89.7,10.8,83,,,6.4,92,,,
Lyles, Jordan,543475,2022,31.8,91.8,23.9,80,10.8,86.3,13.4,79.1,17.5,90.8,2.7,84.8,,,
Mikolas, Miles,571945,2022,27.4,93.5,25.4,87.7,4,82.7,20.8,76.2,22.3,93,,,,,
Gausman, Kevin,592332,2022,48.8,95,14.5,84.4,1.9,84.5,,,,,,,34.8,85.2,
Ray, Robbie,592662,2022,39.4,93.4,37.2,87.2,0.7,86.9,1.9,79.7,20.8,93.3,,,,,
Taillon, Jameson,592791,2022,35.7,94.1,18.8,86.2,8.5,87.7,14.8,81.1,11.1,94.2,11.1,90.7,,,
Gonzales, Marco,594835,2022,36.5,88.4,,,30.5,79.4,13.4,76.6,,,19.6,86.1,,,
Pivetta, Nick,601713,2022,51,93.4,19.7,85.8,2.3,87.1,27.1,77.2,,,,,,,
Bassitt, Chris,605135,2022,13.1,93.2,16.3,78.9,6.1,85.4,13.9,71.6,33.4,92.8,17.2,89.1,,,
Musgrove, Joe,605397,2022,24,92.9,24.4,82.9,6.3,86.5,19.1,81.3,6.8,92.4,19.4,90.1,,,
Nola, Aaron,605400,2022,33.4,92.8,,,14.7,85.9,26.5,78.6,18.8,92.2,6.5,86.8,,,
Rodon, Carlos,607074,2022,61.2,95.5,31.1,85.4,2,84.6,5.7,79.8,,,,,,,
Freeland, Kyle,607536,2022,23.3,90.3,22.5,85.5,13.9,84.8,18.2,80.9,22.1,89.6,,,,,
Fried, Max,608331,2022,32.5,94,18.6,87.3,14.1,86.5,21.6,74.3,13.2,93.6,,,,,
Irvin, Cole,608344,2022,36,90.7,0,86.7,18.4,83,20.7,77.5,22.9,90.3,2,87.1,,,
Marquez, German,608566,2022,29.8,95.6,20.9,87.7,3,87.8,22.1,86.5,24.2,95.1,,,,,
Quantrill, Cal,615698,2022,2.7,93.4,,,11.8,85.3,4.2,82.7,45.2,93.6,36,88.5,,,
Berrios, Jose,621244,2022,27.9,94,,,15.4,84.6,30.9,82.9,25.8,93.9,,,,,
Urias, Julio,628711,2022,47.7,93.1,,,17.5,86.2,33.3,80.9,1.5,93.9,,,,,
Lopez, Pablo,641154,2022,39,93.5,,,35.3,87.5,8.1,80.9,8.1,93.4,9.5,88.7,,,
Alcantara, Sandy,645261,2022,25.2,98,22,90,27.7,91.8,0.3,86.2,24.8,97.8,,,,,
Cease, Dylan,656302,2022,39.8,96.8,42.9,87.4,2.4,77.8,13.9,81.1,1,96.5,,,,,
Montgomery, Jordan,656756,2022,17,93,,,22.2,82.3,22.2,80.2,34.5,93,4,88.3,,,
Wright, Kyle,657140,2022,19.4,95.1,7.2,90.1,15.5,88.1,34.1,84.7,23.9,94.4,,,,,
Webb, Logan,657277,2022,3.2,92.4,32.7,82.5,31.2,86.4,,,32.9,91.8,,,,,
Ohtani, Shohei,660271,2022,27.6,97.3,39.1,85.3,,,8.6,77.7,3.7,97.2,9.1,90.5,12,89.3,
McKenzie, Triston,663474,2022,55.9,92.5,22.1,87.3,,,21.9,79.4,,,,,,,
McClanahan, Shane,663556,2022,35.7,96.7,15.5,89.3,25.4,87.7,23.4,82,,,,,,,
Valdez, Framber,664285,2022,3.6,94.1,,,9,88.7,28,79.1,49,93.9,10.3,83,,,
Urquidy, Jose,664353,2022,52.7,93.5,13.5,80.1,14.8,86.1,14.1,78.1,,,4.8,87.4,,,
Manoah, Alek,666201,2022,35.9,93.9,27.1,81.5,11.2,86.5,,,25.8,93.3,,,,,
Gallen, Zac,668678,2022,48.1,94.1,0.9,86.7,14.2,86.2,21.9,81.6,0,94.7,14.8,89.9,,,
Burnes, Corbin,669203,2022,0.5,96.1,9.2,88.2,9.8,90.3,18.4,81.6,6.7,96.3,55.4,95,,,
Gilbert, Logan,669302,2022,53.9,96.1,24.2,86.9,8,86.2,12.5,80.8,1.4,94.7,,,,,
Bieber, Shane,669456,2022,34.4,91.3,28.8,85,2.3,86.4,17.9,82,,,16.6,86.9,,,